#####################################################################
# Alchemist log file - simulation started at: 2024-10-25T14:53+0000 #
#####################################################################
#
# seed = 1.0, globalRound = 7
#
# The columns have the following meaning: 
# time reward[min] reward[max] reward[mean] reward[variance] localComponentsPercentage[min] localComponentsPercentage[max] localComponentsPercentage[mean] localComponentsPercentage[variance] 
0.0 NaN NaN NaN NaN NaN NaN NaN NaN
0.004885589795766698 NaN NaN NaN NaN NaN NaN NaN NaN
1.0048855897957667 NaN NaN NaN NaN NaN NaN NaN NaN
2.0048855897957667 NaN NaN NaN NaN NaN NaN NaN NaN
3.0048855897957667 NaN NaN NaN NaN 0.0 1.0 0.19000000000000003 0.08474747474747474
4.004885589795767 NaN NaN NaN NaN 0.0 1.0 0.19000000000000003 0.08474747474747474
5.004885589795767 NaN NaN NaN NaN 0.0 1.0 0.19000000000000003 0.08474747474747474
6.004885589795767 NaN NaN NaN NaN 0.0 1.0 0.19000000000000003 0.08474747474747474
7.004885589795767 NaN NaN NaN NaN 0.0 1.0 0.19000000000000003 0.08474747474747474
8.004885589795766 -0.278 -0.00 -0.196 0.00521 0.0 0.0 0.0 0.0
9.004885589795766 -0.278 -0.00 -0.196 0.00521 0.0 0.0 0.0 0.0
10.004885589795766 -0.278 -0.00 -0.196 0.00521 0.0 0.0 0.0 0.0
11.004885589795766 -0.278 -0.00 -0.196 0.00521 0.0 0.0 0.0 0.0
12.004885589795766 -0.278 -0.00 -0.196 0.00521 0.0 0.0 0.0 0.0
13.004885589795766 -0.278 -0.222 -0.254 0.000166 0.0 0.0 0.0 0.0
14.004885589795766 -0.278 -0.222 -0.254 0.000166 0.0 0.0 0.0 0.0
15.004885589795766 -0.278 -0.222 -0.254 0.000166 0.0 0.0 0.0 0.0
16.004885589795766 -0.278 -0.222 -0.254 0.000166 0.0 0.0 0.0 0.0
17.004885589795766 -0.278 -0.222 -0.254 0.000166 0.0 0.0 0.0 0.0
18.004885589795766 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
19.004885589795766 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
20.004885589795766 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
21.004885589795766 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
22.004885589795766 -0.278 -0.278 -0.278 0.00 0.0 0.0 0.0 0.0
23.004885589795766 -0.278 -0.278 -0.278 0.00 0.0 1.0 0.15999999999999998 0.07010101010100998
24.004885589795766 -0.278 -0.278 -0.278 0.00 0.0 1.0 0.15999999999999998 0.07010101010100998
25.004885589795766 -0.278 -0.278 -0.278 0.00 0.0 1.0 0.15999999999999998 0.07010101010100998
26.004885589795766 -0.278 -0.278 -0.278 0.00 0.0 1.0 0.15999999999999998 0.07010101010100998
